loglik_mean,num_edge,n_p,n,p,model
12.243565669629168,865.8,25_50,25,50,DC
12.251485428566301,877.8,25_50,25,50,DC
12.250208750115812,890.6,25_50,25,50,DC
12.235984160083508,902.6,25_50,25,50,DC
12.23307628404532,914.6,25_50,25,50,DC
12.235492621304006,927.6,25_50,25,50,DC
12.235344874197,939.6,25_50,25,50,DC
12.21634797171553,952.6,25_50,25,50,DC
12.21208625913002,964.6,25_50,25,50,DC
12.218853747046781,976.6,25_50,25,50,DC
12.225337893808726,989.6,25_50,25,50,DC
12.24080375126363,1001.4,25_50,25,50,DC
12.234881405011764,1013.6,25_50,25,50,DC
12.235783857560069,1026.6,25_50,25,50,DC
12.232841994639621,1038.8,25_50,25,50,DC
12.234070559305952,1050.8,25_50,25,50,DC
12.238969274415428,1063.4,25_50,25,50,DC
12.243506369985619,1075.4,25_50,25,50,DC
12.249429696849704,1088.2,25_50,25,50,DC
12.24317241645104,1100,25_50,25,50,DC
12.246548027586908,1111,25_50,25,50,DC
12.239160972985458,1123.2,25_50,25,50,DC
12.2450261597975,1134,25_50,25,50,DC
12.24545095487771,1145,25_50,25,50,DC
12.245267311251578,1156,25_50,25,50,DC
12.237328240134193,1166.6,25_50,25,50,DC
12.238871674952481,1176.4,25_50,25,50,DC
12.238416861965629,1185.2,25_50,25,50,DC
12.2364955347131,1194,25_50,25,50,DC
12.228741030411415,1202.2,25_50,25,50,DC
13.142261175691587,1,50_50,50,50,DC
13.24881852981089,13,50_50,50,50,DC
13.182013431176962,25,50_50,50,50,DC
13.109005777995971,38,50_50,50,50,DC
13.047237722942869,50,50_50,50,50,DC
13.077309837801437,62,50_50,50,50,DC
13.065905262830897,75,50_50,50,50,DC
13.009982551760604,87,50_50,50,50,DC
12.985131962858633,99,50_50,50,50,DC
12.976653700284,112,50_50,50,50,DC
13.011706312554846,124,50_50,50,50,DC
12.998895388980944,137,50_50,50,50,DC
12.947802803708031,149,50_50,50,50,DC
12.981720733181614,161,50_50,50,50,DC
13.01562451378698,174,50_50,50,50,DC
13.05817289957008,186,50_50,50,50,DC
13.083946159712372,198,50_50,50,50,DC
13.041965970657062,211,50_50,50,50,DC
13.061225294967132,223,50_50,50,50,DC
13.048068896044821,235,50_50,50,50,DC
13.06171985327649,248,50_50,50,50,DC
13.063239413762764,260,50_50,50,50,DC
13.052576722049798,273,50_50,50,50,DC
13.059995011033244,285,50_50,50,50,DC
13.0820517638636,297,50_50,50,50,DC
13.082223045969966,310,50_50,50,50,DC
13.065773572901334,322,50_50,50,50,DC
13.060561228960001,334,50_50,50,50,DC
13.038585052148663,347,50_50,50,50,DC
13.0731887814741,359,50_50,50,50,DC
13.085205084739204,371,50_50,50,50,DC
13.097833432211477,384,50_50,50,50,DC
13.106424270569228,396,50_50,50,50,DC
13.120292516621635,409,50_50,50,50,DC
13.116966220967404,421,50_50,50,50,DC
13.117668682110402,433,50_50,50,50,DC
13.094582063434604,446,50_50,50,50,DC
13.103467496577625,458,50_50,50,50,DC
13.131598322062555,470,50_50,50,50,DC
13.128037793305527,483,50_50,50,50,DC
13.139209470893707,495,50_50,50,50,DC
13.131072523194824,507,50_50,50,50,DC
