p,n,DC,glasso,SCAD,adapt,n_p
50,100,0.005999999997584382,0.0010000000002037268,0.0010000000002037268,0.0010000000002037268,100_50
50,100,0.006000000001222361,0.0010000000002037268,0.0010000000002037268,0.0010000000002037268,100_50
50,100,0.008999999998195563,0.0010000000002037268,0.0020000000004074536,0.0010000000002037268,100_50
50,100,0.006000000001222361,0.0010000000002037268,0.0010000000002037268,0,100_50
50,100,0.005999999997584382,0.0010000000002037268,0.0020000000004074536,0,100_50
50,100,0.005999999997584382,0.0010000000002037268,0.0010000000002037268,0.0010000000002037268,100_50
50,100,0.006000000001222361,0.0010000000002037268,0.0020000000004074536,0,100_50
50,100,0.005999999997584382,0.0010000000002037268,0.0010000000002037268,0.0010000000002037268,100_50
50,100,0.006000000001222361,0.0010000000002037268,0.0010000000002037268,0.0010000000002037268,100_50
50,100,0.007000000001426088,0.0010000000002037268,0.0010000000002037268,9.99999996565748e-4,100_50
100,100,0.03899999999703141,0.008000000001629815,0.005000000001018634,0.0029999999969732016,100_100
100,100,0.02600000000165892,0.007999999997991836,0.004000000000814907,0.0030000000006111804,100_100
100,100,0.027000000001862645,0.007999999997991836,0.005000000001018634,0.0020000000004074536,100_100
100,100,0.026999999998224666,0.008000000001629815,0.004999999997380655,0.0020000000004074536,100_100
100,100,0.028000000002066372,0.007999999997991836,0.005000000001018634,0.0020000000004074536,100_100
100,100,0.027000000001862645,0.007000000001426088,0.005000000001018634,0.0020000000004074536,100_100
100,100,0.02599999999802094,0.007000000001426088,0.005000000001018634,0.001999999996769475,100_100
100,100,0.02600000000165892,0.006999999997788109,0.005000000001018634,0.0020000000004074536,100_100
100,100,0.026999999998224666,0.008000000001629815,0.005000000001018634,0.001999999996769475,100_100
100,100,0.02599999999802094,0.008000000001629815,0.004000000000814907,0.0029999999969732016,100_100
200,100,0.18500000000130967,0.059999999997671694,0.0470000000022992,0.01900000000023283,100_200
200,100,0.1849999999976717,0.0610000000015134,0.040000000000873115,0.01299999999901047,100_200
200,100,0.1389999999992142,0.03900000000066939,0.029999999998835847,0.011999999998806743,100_200
200,100,0.1860000000015134,0.06000000000130967,0.04099999999743886,0.013000000002648449,100_200
200,100,0.16999999999825377,0.04100000000107684,0.033999999999650754,0.011000000002240995,100_200
200,100,0.13399999999819556,0.03900000000066939,0.027000000001862645,0.011999999998806743,100_200
200,100,0.1349999999983993,0.03900000000066939,0.029999999998835847,0.018000000000029104,100_200
200,100,0.1389999999992142,0.03800000000046566,0.037000000000261934,0.011999999998806743,100_200
200,100,0.1889999999984866,0.06000000000130967,0.04099999999743886,0.012000000002444722,100_200
200,100,0.18900000000212458,0.059999999997671694,0.046000000002095476,0.01299999999901047,100_200
200,400,0.17300000000250293,0.04199999999764259,0.033999999999650754,0.012000000002444722,400_200
200,400,0.17100000000209548,0.04099999999743886,0.03499999999985448,0.012000000002444722,400_200
