num_edge,mean,std,num,model,n,p,n_p
40,0.6980952380952381,0.010932015047853249,30,DC,100,50,100_50
40,0.6685714285714286,0.01092486011872245,30,SCAD,100,50,100_50
40,0.7076190476190476,0.011678975444487847,30,adapt,100,50,100_50
20,0.5506666666666666,0.014051901604313846,30,glasso,50,100,50_100
20,0.5053333333333333,0.01023554021656426,30,DC,50,100,50_100
20,0.5506666666666666,0.014051901604313846,30,SCAD,50,100,50_100
20,0.548,0.012000000000000007,30,adapt,50,100,50_100
30,0.5044444444444445,0.011931406053119948,30,glasso,50,100,50_100
30,0.4866666666666667,0.012944522552507996,30,DC,50,100,50_100
30,0.5044444444444445,0.011931406053119948,30,SCAD,50,100,50_100
30,0.5166666666666667,0.011933189921867766,30,adapt,50,100,50_100
40,0.4619047619047619,0.01052979271029846,30,glasso,50,100,50_100
40,0.4552380952380952,0.011373705190273677,30,DC,50,100,50_100
40,0.4619047619047619,0.01052979271029846,30,SCAD,50,100,50_100
40,0.47238095238095235,0.01049855799964627,30,adapt,50,100,50_100
20,0.664,0.01236978149576109,30,glasso,100,100,100_100
20,0.6893333333333334,0.011928265796175676,30,DC,100,100,100_100
20,0.664,0.01236978149576109,30,SCAD,100,100,100_100
20,0.6866666666666666,0.012733640244240126,30,adapt,100,100,100_100
30,0.6422222222222222,0.014554546483112286,30,glasso,100,100,100_100
30,0.6566666666666666,0.01186880173655109,30,DC,100,100,100_100
30,0.6422222222222222,0.014554546483112286,30,SCAD,100,100,100_100
30,0.6677777777777777,0.012117278474683798,30,adapt,100,100,100_100
40,0.5828571428571429,0.010664086012007731,30,glasso,100,100,100_100
40,0.5904761904761905,0.011157149129536881,30,DC,100,100,100_100
40,0.5828571428571429,0.010664086012007731,30,SCAD,100,100,100_100
40,0.6019047619047619,0.011537521188858578,30,adapt,100,100,100_100
20,0.736,0.008271263089966863,30,glasso,200,100,200_100
20,0.78,0.004982728791224406,30,DC,200,100,200_100
20,0.736,0.008271263089966863,30,SCAD,200,100,200_100
20,0.768,0.005558466670237211,30,adapt,200,100,200_100
30,0.7855555555555556,0.00855951045575802,30,glasso,200,100,200_100
30,0.8044444444444445,0.009553684214871237,30,DC,200,100,200_100
30,0.7855555555555556,0.00855951045575802,30,SCAD,200,100,200_100
30,0.8211111111111111,0.011012976594434473,30,adapt,200,100,200_100
40,0.741904761904762,0.009136628967880226,30,glasso,200,100,200_100
40,0.7523809523809524,0.008142909956713273,30,DC,200,100,200_100
40,0.741904761904762,0.009136628967880226,30,SCAD,200,100,200_100
40,0.7609523809523809,0.007438333024673005,30,adapt,200,100,200_100
20,0.6666666666666667,0.013606399215694735,30,glasso,100,200,100_200
20,0.6573333333333333,0.013381522114453828,30,DC,100,200,100_200
20,0.6666666666666667,0.013606399215694735,30,SCAD,100,200,100_200
20,0.676,0.012332556670171378,30,adapt,100,200,100_200
30,0.6144444444444445,0.012032664497107754,30,glasso,100,200,100_200
30,0.6033333333333333,0.013213059061297787,30,DC,100,200,100_200
30,0.6133333333333333,0.012023816297884037,30,SCAD,100,200,100_200
30,0.6277777777777778,0.012180353224879965,30,adapt,100,200,100_200
40,0.5523809523809524,0.011570006061752137,30,glasso,100,200,100_200
40,0.5371428571428571,0.01107837855910983,30,DC,100,200,100_200
40,0.5514285714285714,0.011473638563711485,30,SCAD,100,200,100_200
40,0.5466666666666666,0.01143951309831408,30,adapt,100,200,100_200
20,0.7453333333333334,0.005906033021719383,30,glasso,200,200,200_200
20,0.7693333333333333,0.004572112701955958,30,DC,200,200,200_200
20,0.7453333333333334,0.005906033021719383,30,SCAD,200,200,200_200
20,0.7666666666666666,0.00473027260601364,30,adapt,200,200,200_200
30,0.7611111111111111,0.010966491786484078,30,glasso,200,200,200_200
30,0.7744444444444445,0.010919809097987189,30,DC,200,200,200_200
30,0.7611111111111111,0.010966491786484078,30,SCAD,200,200,200_200
30,0.7822222222222223,0.012143599434974884,30,adapt,200,200,200_200
40,0.6847619047619048,0.011822705710548756,30,glasso,200,200,200_200
40,0.6914285714285714,0.010010550380989584,30,DC,200,200,200_200
40,0.6847619047619048,0.011822705710548756,30,SCAD,200,200,200_200
40,0.6971428571428572,0.011095305045006857,30,adapt,200,200,200_200
20,0.7586666666666667,0.007042291511418757,30,glasso,400,200,400_200
20,0.7773333333333333,0.004958061665502682,30,DC,400,200,400_200
20,0.7586666666666667,0.007042291511418757,30,SCAD,400,200,400_200
20,0.7706666666666666,0.00540185862720902,30,adapt,400,200,400_200
30,0.9,0.006966440261037215,30,glasso,400,200,400_200
30,0.9144444444444445,0.006329265346761402,30,DC,400,200,400_200
30,0.9011111111111111,0.006871068286335642,30,SCAD,400,200,400_200
30,0.9166666666666667,0.005926325018489662,30,adapt,400,200,400_200
40,0.8180952380952381,0.00572795300411302,30,glasso,400,200,400_200
40,0.8409523809523809,0.003797188567825703,30,DC,400,200,400_200
40,0.8171428571428572,0.005747032605379927,30,SCAD,400,200,400_200
40,0.84,0.003776540298578663,30,adapt,400,200,400_200
20,0.7306666666666667,0.012419241035293592,30,glasso,200,400,200_400
20,0.7546666666666667,0.011464421057845476,30,DC,200,400,200_400
20,0.7306666666666667,0.012419241035293592,30,SCAD,200,400,200_400
20,0.7546666666666667,0.009728892074443447,30,adapt,200,400,200_400
30,0.6911111111111111,0.015976781791305215,30,glasso,200,400,200_400
30,0.7255555555555555,0.013811662694773954,30,DC,200,400,200_400
30,0.6911111111111111,0.015976781791305215,30,SCAD,200,400,200_400
30,0.7322222222222222,0.013129022118821696,30,adapt,200,400,200_400
40,0.621904761904762,0.013188279710181043,30,glasso,200,400,200_400
40,0.6352380952380953,0.012074002277753872,30,DC,200,400,200_400
40,0.6228571428571429,0.012952574131660927,30,SCAD,200,400,200_400
40,0.6476190476190476,0.012278214637944776,30,adapt,200,400,200_400
20,0.7786666666666666,0.004976573472270279,30,glasso,400,400,400_400
20,0.78,0.0049827287912244025,30,DC,400,400,400_400
20,0.7786666666666666,0.004976573472270279,30,SCAD,400,400,400_400
20,0.784,0.004113336872891053,30,adapt,400,400,400_400
30,0.8633333333333334,0.008658410449949546,30,glasso,400,400,400_400
30,0.898888888888889,0.006082307599102326,30,DC,400,400,400_400
30,0.8644444444444445,0.00844686394053853,30,SCAD,400,400,400_400
30,0.89,0.006220716840337841,30,adapt,400,400,400_400
40,0.7914285714285714,0.008236476771833244,30,glasso,400,400,400_400
40,0.8123809523809523,0.006942454167839115,30,DC,400,400,400_400
40,0.7952380952380952,0.008114051354571732,30,SCAD,400,400,400_400
40,0.8171428571428572,0.005747032605379925,30,adapt,400,400,400_400
20,0.7813333333333333,0.00417252461776127,30,glasso,800,400,800_400
20,0.7893333333333333,0.003803607885967167,30,DC,800,400,800_400
20,0.7813333333333333,0.00417252461776127,30,SCAD,800,400,800_400
20,0.784,0.004113336872891053,30,adapt,800,400,800_400
30,0.9666666666666667,0.0035737084494593158,30,glasso,800,400,800_400
30,0.9822222222222222,0.0034771038481343827,30,DC,800,400,800_400
30,0.9666666666666667,0.0035737084494593158,30,SCAD,800,400,800_400
30,0.98,0.0037820575262078352,30,adapt,800,400,800_400
40,0.8571428571428571,0,30,glasso,800,400,800_400
40,0.8571428571428571,0,30,DC,800,400,800_400
40,0.8571428571428571,0,30,SCAD,800,400,800_400
40,0.8571428571428571,0,30,adapt,800,400,800_400
