n_p,K,num_estimated_mean,num_estimated_std
100_50,157,157,0
100_50,169,169,0
100_50,181,181,0
100_50,193,193,0
100_50,205,205,0
100_50,217,217,0
100_50,228,228,0
100_50,240,240,0
100_50,252,252,0
100_50,264,264,0
100_50,276,276,0
100_50,288,288,0
100_50,300,300,0
100_50,311,311,0
100_50,323,323,0
100_50,335,335,0
100_50,347,347,0
100_50,359,359,0
100_50,371,371,0
100_50,383,383,0
100_50,394,394,0
100_50,406,406,0
100_50,418,418,0
100_50,430,430,0
100_50,442,442,0
100_50,454,454,0
100_50,466,466,0
100_50,477,477,0
100_50,489,489,0
100_50,501,501,0
100_50,513,513,0
100_50,525,525,0
100_50,537,537,0
100_50,549,549,0
100_50,560,560,0
100_50,572,572,0
100_50,584,584,0
100_50,596,596,0
100_50,608,608,0
100_50,620,620,0
100_50,632,632,0
100_50,643,643,0
100_50,655,655,0
100_50,667,667,0
100_50,679,679,0
100_50,691,691,0
100_50,703,703,0
100_50,715,715,0
100_50,726,726,0
100_50,738,738,0
100_50,750,750,0
100_50,762,762,0
100_50,774,774,0
100_50,786,786,0
100_50,798,798,0
100_50,809,808.8,0.19999999999999998
100_50,821,820.8,0.19999999999999998
100_50,833,832.8,0.19999999999999998
100_50,845,844.8,0.19999999999999998
100_50,857,856.8,0.19999999999999998
100_50,869,868.8,0.19999999999999998
100_50,881,880.8,0.19999999999999998
100_50,892,891.8,0.19999999999999998
100_50,904,903.6,0.24494897427831783
100_50,916,915.8,0.19999999999999998
100_50,928,927.8,0.19999999999999998
100_50,940,939.8,0.19999999999999998
100_50,952,951.8,0.19999999999999998
100_50,964,963.4,0.39999999999999997
100_50,975,974,0.44721359549995793
100_50,987,985.8,0.58309518948453
100_50,999,997.6,0.7483314773547882
100_50,1011,1009.4,0.9273618495495705
100_50,1023,1021.6,0.9273618495495705
100_50,1035,1033.4,0.9273618495495705
100_50,1047,1044.4,0.812403840463596
100_50,1058,1054.8,0.916515138991168
100_50,1070,1066,1.0488088481701516
100_50,1082,1076.6,1.4352700094407322
100_50,1094,1087.2,1.772004514666935
100_50,1106,1098.8,1.8547236990991405
100_50,1118,1110.8,1.772004514666935
100_50,1130,1121.4,1.6911534525287761
100_50,1141,1131.4,1.8055470085267786
100_50,1153,1141.8,2.1307275752662513
100_50,1165,1150.4,2.039607805437114
100_50,1177,1160,2.4289915602982237
100_50,1189,1171,2.5495097567963922
100_50,1201,1179.6,2.4207436873820405
100_50,1213,1188.4,2.3999999999999995
100_50,1225,1196.2,2.2891046284519194
200_100,101,101,0
200_100,149,149,0
200_100,198,198,0
200_100,247,247,0
200_100,296,296,0
200_100,345,345,0
200_100,394,394,0
200_100,443,443,0
200_100,492,492,0
200_100,541,541,0
200_100,590,590,0
200_100,639,639,0
200_100,688,688,0
200_100,737,737,0
200_100,786,786,0
200_100,835,835,0
200_100,884,884,0
200_100,933,933,0
200_100,982,982,0
200_100,1031,1031,0
200_100,1080,1080,0
200_100,1129,1129,0
200_100,1178,1178,0
200_100,1227,1227,0
200_100,1276,1276,0
200_100,1325,1325,0
200_100,1374,1374,0
200_100,1423,1423,0
200_100,1472,1472,0
200_100,1521,1521,0
200_100,1570,1570,0
200_100,1619,1619,0
200_100,1668,1668,0
200_100,1717,1717,0
200_100,1766,1766,0
200_100,1815,1815,0
200_100,1864,1864,0
200_100,1913,1913,0
200_100,1962,1962,0
200_100,2011,2011,0
200_100,2060,2060,0
200_100,2109,2109,0
200_100,2158,2158,0
200_100,2207,2207,0
200_100,2256,2256,0
200_100,2305,2305,0
200_100,2354,2354,0
200_100,2403,2403,0
200_100,2452,2452,0
200_100,2501,2501,0
200_100,2549,2549,0
200_100,2598,2598,0
200_100,2647,2647,0
200_100,2696,2696,0
200_100,2745,2745,0
200_100,2794,2794,0
200_100,2843,2843,0
200_100,2892,2892,0
200_100,2941,2941,0
200_100,2990,2990,0
200_100,3039,3039,0
200_100,3088,3088,0
200_100,3137,3137,0
200_100,3186,3186,0
200_100,3235,3235,0
200_100,3284,3284,0
200_100,3333,3333,0
200_100,3382,3382,0
200_100,3431,3431,0
200_100,3480,3480,0
200_100,3529,3529,0
200_100,3578,3578,0
200_100,3627,3627,0
200_100,3676,3676,0
200_100,3725,3725,0
200_100,3774,3773.8,0.19999999999999998
200_100,3823,3822.8,0.19999999999999998
200_100,3872,3871.2,0.3741657386773941
200_100,3921,3920.2,0.3741657386773941
200_100,3970,3969,0.44721359549995793
200_100,4019,4017.8,0.58309518948453
200_100,4068,4066.6,0.6782329983125268
200_100,4117,4115.2,0.7999999999999999
200_100,4166,4164.2,0.7999999999999999
200_100,4215,4213,0.8366600265340755
200_100,4264,4262,0.8366600265340755
200_100,4313,4311,0.8366600265340755
200_100,4362,4358.6,1.469693845669907
200_100,4411,4407.2,1.5937377450509227
200_100,4460,4455.4,1.8867962264113205
200_100,4509,4502.2,2.782085548648711
200_100,4558,4549.2,3.6249137920783716
200_100,4607,4596.2,4.4877611344633745
200_100,4656,4639.8,6.491532946846992
200_100,4705,4683.4,8.225569889071515
200_100,4754,4728,9.954898291795853
200_100,4803,4769.8,11.56460116043783
200_100,4852,4809.6,13.56687141532638
200_100,4901,4846.4,15.692673449734432
200_100,4950,4879.8,18.43746186436734
200_200,201,201,0
200_200,399,399,0
200_200,598,598,0
200_200,797,797,0
200_200,996,996,0
200_200,1195,1195,0
200_200,1394,1394,0
200_200,1593,1593,0
200_200,1792,1792,0
200_200,1991,1991,0
200_200,2190,2190,0
200_200,2389,2389,0
200_200,2588,2588,0
200_200,2787,2787,0
200_200,2986,2986,0
200_200,3185,3185,0
200_200,3384,3384,0
200_200,3583,3583,0
200_200,3782,3782,0
200_200,3981,3981,0
200_200,4180,4180,0
200_200,4379,4379,0
200_200,4578,4578,0
200_200,4777,4777,0
200_200,4976,4976,0
200_200,5175,5175,0
200_200,5374,5374,0
200_200,5573,5573,0
200_200,5772,5772,0
200_200,5971,5971,0
200_200,6170,6170,0
200_200,6369,6369,0
200_200,6568,6568,0
200_200,6767,6767,0
200_200,6966,6966,0
200_200,7165,7165,0
200_200,7364,7364,0
200_200,7563,7563,0
200_200,7762,7762,0
200_200,7961,7961,0
200_200,8160,8160,0
200_200,8359,8359,0
200_200,8558,8558,0
200_200,8757,8757,0
200_200,8956,8956,0
200_200,9155,9155,0
200_200,9354,9354,0
200_200,9553,9553,0
200_200,9752,9752,0
200_200,9951,9951,0
200_200,10149,10149,0
200_200,10348,10348,0
200_200,10547,10547,0
200_200,10746,10746,0
200_200,10945,10945,0
200_200,11144,11144,0
200_200,11343,11343,0
200_200,11542,11542,0
200_200,11741,11741,0
200_200,11940,11940,0
200_200,12139,12139,0
200_200,12338,12338,0
200_200,12537,12537,0
200_200,12736,12736,0
200_200,12935,12935,0
200_200,13134,13134,0
200_200,13333,13333,0
200_200,13532,13532,0
200_200,13731,13731,0
200_200,13930,13930,0
200_200,14129,14129,0
200_200,14328,14328,0
200_200,14527,14527,0
200_200,14726,14726,0
200_200,14925,14925,0
200_200,15124,15124,0
200_200,15323,15323,0
200_200,15522,15522,0
200_200,15721,15721,0
200_200,15920,15920,0
200_200,16119,16119,0
200_200,16318,16318,0
200_200,16517,16517,0
200_200,16716,16716,0
200_200,16915,16915,0
200_200,17114,17114,0
200_200,17313,17313,0
200_200,17512,17512,0
200_200,17711,17711,0
200_200,17910,17910,0
200_200,18109,18109,0
200_200,18308,18308,0
200_200,18507,18506.6,0.39999999999999997
200_200,18706,18705.2,0.58309518948453
200_200,18905,18903,1.2649110640673518
200_200,19104,19098.8,3.072458299147443
200_200,19303,19294.2,5.083306010855534
200_200,19502,19483.6,9.410632284814874
200_200,19701,19664,17.728508115461942
200_200,19900,19819.4,30.264831075028315
25_50,51,51,0
25_50,62,62,0
25_50,74,74,0
25_50,86,86,0
25_50,98,98,0
25_50,110,110,0
25_50,122,122,0
25_50,134,134,0
25_50,145,145,0
25_50,157,157,0
25_50,169,169,0
25_50,181,181,0
25_50,193,193,0
25_50,205,205,0
25_50,217,217,0
25_50,228,228,0
25_50,240,240,0
25_50,252,252,0
25_50,264,264,0
25_50,276,276,0
25_50,288,288,0
25_50,300,300,0
25_50,311,311,0
25_50,323,323,0
25_50,335,335,0
25_50,347,347,0
25_50,359,359,0
25_50,371,371,0
25_50,383,383,0
25_50,394,394,0
25_50,406,406,0
25_50,418,418,0
25_50,430,430,0
25_50,442,442,0
25_50,454,454,0
25_50,466,466,0
25_50,477,477,0
25_50,489,489,0
25_50,501,501,0
25_50,513,513,0
25_50,525,525,0
25_50,537,537,0
25_50,549,549,0
25_50,560,560,0
25_50,572,572,0
25_50,584,584,0
25_50,596,596,0
25_50,608,608,0
25_50,620,620,0
25_50,632,632,0
25_50,643,643,0
25_50,655,655,0
25_50,667,667,0
25_50,679,679,0
25_50,691,691,0
25_50,703,703,0
25_50,715,715,0
25_50,726,726,0
25_50,738,738,0
25_50,750,750,0
25_50,762,762,0
25_50,774,774,0
25_50,786,786,0
25_50,798,798,0
25_50,809,809,0
25_50,821,821,0
25_50,833,833,0
25_50,845,845,0
25_50,857,857,0
25_50,869,869,0
25_50,881,881,0
25_50,892,892,0
25_50,904,904,0
25_50,916,916,0
25_50,928,928,0
25_50,940,939.8,0.19999999999999998
25_50,952,951.8,0.19999999999999998
25_50,964,963.8,0.19999999999999998
25_50,975,975,0
25_50,987,987,0
25_50,999,999,0
25_50,1011,1010.8,0.19999999999999998
25_50,1023,1023,0
25_50,1035,1034.8,0.19999999999999998
25_50,1047,1046.2,0.7999999999999999
25_50,1058,1057.2,0.7999999999999999
25_50,1070,1069.2,0.7999999999999999
25_50,1082,1080.8,1.2
25_50,1094,1092.8,1.2
25_50,1106,1104.4,1.3638181696985856
25_50,1118,1116,1.51657508881031
25_50,1130,1127.8,1.4628738838327793
25_50,1141,1137.6,2.014944167960988
25_50,1153,1149,2.073644135332772
25_50,1165,1159.4,2.2271057451320084
25_50,1177,1170.6,3.3105890714493698
25_50,1189,1181,2.6076809620810595
25_50,1201,1191.2,2.6532998322843198
25_50,1213,1201.6,2.7856776554368237
25_50,1225,1213,2.846049894151541
400_200,201,201,0
400_200,399,399,0
400_200,598,598,0
400_200,797,797,0
400_200,996,996,0
400_200,1195,1195,0
400_200,1394,1394,0
400_200,1593,1593,0
400_200,1792,1792,0
400_200,1991,1991,0
400_200,2190,2190,0
400_200,2389,2389,0
400_200,2588,2588,0
400_200,2787,2787,0
400_200,2986,2986,0
400_200,3185,3185,0
400_200,3384,3384,0
400_200,3583,3583,0
400_200,3782,3782,0
400_200,3981,3981,0
400_200,4180,4180,0
400_200,4379,4379,0
400_200,4578,4578,0
400_200,4777,4777,0
400_200,4976,4976,0
400_200,5175,5175,0
400_200,5374,5374,0
400_200,5573,5573,0
400_200,5772,5772,0
400_200,5971,5971,0
400_200,6170,6170,0
400_200,6369,6369,0
400_200,6568,6568,0
400_200,6767,6767,0
400_200,6966,6966,0
400_200,7165,7165,0
400_200,7364,7364,0
400_200,7563,7563,0
400_200,7762,7762,0
400_200,7961,7961,0
400_200,8160,8160,0
400_200,8359,8359,0
400_200,8558,8558,0
400_200,8757,8757,0
400_200,8956,8956,0
400_200,9155,9155,0
400_200,9354,9354,0
400_200,9553,9553,0
400_200,9752,9752,0
400_200,9951,9951,0
