accuracy,recall,precision,F_measure,num_edge,n_p,n,p,model
0.5314285714285715,0.6333333333333333,0.03264604810996564,0.06209150326797386,582,100_50,100,50,glasso
0.7575510204081632,0.6,0.0594059405940594,0.10810810810810811,303,100_50,100,50,glasso
0.7951020408163265,0.5666666666666667,0.06666666666666667,0.1192982456140351,255,100_50,100,50,glasso
0.5420408163265306,0.7666666666666667,0.03986135181975736,0.0757825370675453,577,100_50,100,50,glasso
0.7044897959183674,0.6666666666666666,0.053763440860215055,0.09950248756218906,372,100_50,100,50,glasso
0.7844897959183673,0.7,0.07608695652173914,0.13725490196078433,276,100_50,100,50,glasso
0.8824489795918368,0.5,0.10416666666666667,0.1724137931034483,144,100_50,100,50,glasso
0.7085714285714285,0.7,0.056910569105691054,0.10526315789473684,369,100_50,100,50,glasso
0.7755102040816326,0.5,0.05454545454545454,0.09836065573770492,275,100_50,100,50,glasso
0.6555102040816326,0.7,0.04838709677419355,0.09051724137931035,434,100_50,100,50,glasso
0.7208163265306122,0.6333333333333333,0.054285714285714284,0.1,350,100_50,100,50,glasso
0.7012244897959183,0.7333333333333333,0.05789473684210526,0.10731707317073172,380,100_50,100,50,glasso
0.7812244897959184,0.6,0.06569343065693431,0.11842105263157894,274,100_50,100,50,glasso
0.7836734693877551,0.5,0.05660377358490566,0.1016949152542373,265,100_50,100,50,glasso
0.7436734693877551,0.5333333333333333,0.05063291139240506,0.09248554913294797,316,100_50,100,50,glasso
0.7461224489795918,0.6,0.056782334384858045,0.1037463976945245,317,100_50,100,50,glasso
0.7640816326530612,0.5,0.05190311418685121,0.09404388714733541,289,100_50,100,50,glasso
0.7795918367346939,0.7,0.07446808510638298,0.13461538461538458,282,100_50,100,50,glasso
0.7020408163265306,0.5666666666666667,0.04607046070460705,0.08521303258145363,369,100_50,100,50,glasso
0.710204081632653,0.7,0.05722070844686648,0.10579345088161209,367,100_50,100,50,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9927272727272727,0,0,NA,6,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9923232323232323,0.03333333333333333,0.1,0.05,10,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9913131313131314,0.1,0.15789473684210525,0.12244897959183673,19,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9927272727272727,0.06666666666666667,0.2,0.1,10,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9939393939393939,0,NA,NA,0,50_100,50,100,glasso
0.9937373737373737,0,0,NA,1,50_100,50,100,glasso
