accuracy,recall,precision,F_measure,num_edge,n_p,n,p,model
0.6212244897959184,0.9333333333333333,0.05714285714285714,0.10769230769230768,490,25_50,25,50,glasso
0.590204081632653,0.8666666666666667,0.04961832061068702,0.09386281588447654,524,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.6408163265306123,0.8,0.05240174672489083,0.09836065573770492,458,25_50,25,50,glasso
0.8906122448979592,0.7,0.14383561643835616,0.23863636363636362,146,25_50,25,50,glasso
0.5771428571428572,0.8333333333333334,0.046468401486988845,0.0880281690140845,538,25_50,25,50,glasso
0.7991836734693878,0.6333333333333333,0.07480314960629922,0.13380281690140847,254,25_50,25,50,glasso
0.7142857142857143,0.6,0.05056179775280899,0.0932642487046632,356,25_50,25,50,glasso
0.6195918367346939,0.7333333333333333,0.04583333333333333,0.08627450980392157,480,25_50,25,50,glasso
0.6685714285714286,0.8,0.05660377358490566,0.10572687224669604,424,25_50,25,50,glasso
0.7110204081632653,0.9,0.07142857142857142,0.1323529411764706,378,25_50,25,50,glasso
0.76,0.6666666666666666,0.06578947368421052,0.11976047904191617,304,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.68,0.8666666666666667,0.06280193236714976,0.11711711711711711,414,25_50,25,50,glasso
0.556734693877551,0.7333333333333333,0.03949730700179533,0.07495741056218057,557,25_50,25,50,glasso
0.5771428571428572,0.9333333333333333,0.051470588235294115,0.09756097560975609,544,25_50,25,50,glasso
0.7044897959183674,0.8666666666666667,0.06770833333333333,0.12560386473429952,384,25_50,25,50,glasso
0.6506122448979592,0.8,0.053811659192825115,0.10084033613445377,446,25_50,25,50,glasso
0.5093877551020408,0.9333333333333333,0.044657097288676235,0.08523592085235919,627,25_50,25,50,glasso
0.5395918367346939,0.9,0.04591836734693878,0.08737864077669903,588,25_50,25,50,glasso
0.64,0.7333333333333333,0.04835164835164835,0.0907216494845361,455,25_50,25,50,glasso
0.4636734693877551,0.9,0.039647577092511016,0.0759493670886076,681,25_50,25,50,glasso
0.7542857142857143,0.7666666666666667,0.07255520504731862,0.1325648414985591,317,25_50,25,50,glasso
0.7518367346938776,0.8,0.07453416149068323,0.13636363636363635,322,25_50,25,50,glasso
0.6571428571428571,0.8,0.0547945205479452,0.10256410256410256,438,25_50,25,50,glasso
0.6620408163265306,0.9,0.06164383561643835,0.11538461538461538,438,25_50,25,50,glasso
0.5387755102040817,0.9333333333333333,0.047377326565143825,0.09017713365539452,591,25_50,25,50,glasso
