num_edge,mean,std,num,model,n,p,n_p
20,0.19333333333333333,0.012441433680675686,30,SCAD,100,100,100_100
20,0.25066666666666665,0.016821806682893143,30,adapt,100,100,100_100
30,0.17333333333333334,0.013692480993592717,30,glasso,100,100,100_100
30,0.23222222222222222,0.015779720348818943,30,DC,100,100,100_100
30,0.19,0.011975923057447617,30,SCAD,100,100,100_100
30,0.23,0.015606102876718549,30,adapt,100,100,100_100
40,0.17333333333333334,0.0127726347559217,30,glasso,100,100,100_100
40,0.21523809523809526,0.014864046225740616,30,DC,100,100,100_100
40,0.17523809523809525,0.010408799515692752,30,SCAD,100,100,100_100
40,0.21523809523809526,0.014544992493318733,30,adapt,100,100,100_100
20,0.28400000000000003,0.01761399652444664,30,glasso,200,100,200_100
20,0.35600000000000004,0.016975980326507715,30,DC,200,100,200_100
20,0.32266666666666666,0.016038268411516458,30,SCAD,200,100,200_100
20,0.36133333333333334,0.01783534739942672,30,adapt,200,100,200_100
30,0.2555555555555556,0.015273858779836684,30,glasso,200,100,200_100
30,0.32666666666666666,0.01593409158329805,30,DC,200,100,200_100
30,0.30444444444444446,0.017849472292826945,30,SCAD,200,100,200_100
30,0.3277777777777778,0.01590869007030706,30,adapt,200,100,200_100
40,0.24571428571428575,0.013253337316886887,30,glasso,200,100,200_100
40,0.3085714285714286,0.0149060707546843,30,DC,200,100,200_100
40,0.27904761904761904,0.01541867549407898,30,SCAD,200,100,200_100
40,0.31142857142857144,0.01515267519496662,30,adapt,200,100,200_100
20,0.13333333333333333,0.01002678405409396,30,glasso,100,200,100_200
20,0.18,0.011938539928826469,30,DC,100,200,100_200
20,0.096,0.007072693157895875,30,SCAD,100,200,100_200
20,0.188,0.011531067480566546,30,adapt,100,200,100_200
30,0.12555555555555556,0.00899600213935462,30,glasso,100,200,100_200
30,0.16555555555555557,0.010538906006041234,30,DC,100,200,100_200
30,0.0988888888888889,0.0068710682863356454,30,SCAD,100,200,100_200
30,0.17555555555555558,0.010099547090149081,30,adapt,100,200,100_200
40,0.11523809523809525,0.007563425870595426,30,glasso,100,200,100_200
40,0.15142857142857144,0.009306217102209685,30,DC,100,200,100_200
40,0.09714285714285716,0.007326057850021561,30,SCAD,100,200,100_200
40,0.15714285714285717,0.009564772334456947,30,adapt,100,200,100_200
20,0.22666666666666666,0.013606399215694733,30,glasso,200,200,200_200
20,0.304,0.013776541781168298,30,DC,200,200,200_200
20,0.25466666666666665,0.014025701640681294,30,SCAD,200,200,200_200
20,0.30933333333333335,0.012998084150015384,30,adapt,200,200,200_200
30,0.21000000000000002,0.011317997286614857,30,glasso,200,200,200_200
30,0.27222222222222225,0.012075045601011055,30,DC,200,200,200_200
30,0.23,0.012415744135031319,30,SCAD,200,200,200_200
30,0.28,0.012543665749971126,30,adapt,200,200,200_200
40,0.1923809523809524,0.010693374960359773,30,glasso,200,200,200_200
40,0.24857142857142858,0.012264196224424932,30,DC,200,200,200_200
40,0.20857142857142857,0.011555128497976058,30,SCAD,200,200,200_200
40,0.24952380952380954,0.01137370519027368,30,adapt,200,200,200_200
20,0.336,0.013642395043713387,30,glasso,400,200,400_200
20,0.428,0.01617717989716648,30,DC,400,200,400_200
20,0.392,0.0138829259230145,30,SCAD,400,200,400_200
20,0.44266666666666665,0.01509307014107881,30,adapt,400,200,400_200
30,0.32,0.012441433680675686,30,glasso,400,200,400_200
30,0.38333333333333336,0.014001459511588836,30,DC,400,200,400_200
30,0.37666666666666665,0.014397211309367866,30,SCAD,400,200,400_200
30,0.3988888888888889,0.014689926986694479,30,adapt,400,200,400_200
40,0.28380952380952384,0.010693374960359771,30,glasso,400,200,400_200
40,0.34285714285714286,0.012703884973046546,30,DC,400,200,400_200
40,0.3342857142857143,0.01278854166938344,30,SCAD,400,200,400_200
40,0.3542857142857143,0.013253337316886885,30,adapt,400,200,400_200
20,0.168,0.014781162289234555,30,glasso,200,400,200_400
