n_p,K,num_estimated_mean,num_estimated_std
100_200,18109,18109,0
100_200,18308,18308,0
100_200,18507,18507,0
100_200,18706,18706,0
100_200,18905,18905,0
100_200,19104,19103.8,0.19999999999999998
100_200,19303,19302,0.7745966692414833
100_200,19502,19498.4,1.5033296378372907
100_200,19701,19688.6,4.8846698967279245
100_200,19900,19848.4,6.120457499239743
100_50,51,336.6,67.86501307743187
100_50,62,334,67.30676043310955
100_50,74,331.8,66.96670814666045
100_50,86,327.8,66.74533691577263
100_50,98,326.6,66.53314963234492
100_50,110,326.8,65.96620346813965
100_50,122,327.2,64.9587561457268
100_50,134,328.2,63.94325609475951
100_50,145,330.2,63.10736882488446
100_50,157,330.6,61.779932016796515
100_50,169,333,59.39781140749211
100_50,181,335.2,57.42072796473413
100_50,193,340,55.54907740007929
100_50,205,343.2,53.52700253143267
100_50,217,347,50.762190654068505
100_50,228,349.6,47.7939326693253
100_50,240,355,45.04775244115959
100_50,252,360.8,43.008603790404536
100_50,264,364.6,40.922609887444864
100_50,276,369.2,38.801288638394475
100_50,288,375.4,36.441185491144495
100_50,300,382.6,34.66064050187185
100_50,311,389.2,33.404191353780746
100_50,323,395.6,30.847366176061126
100_50,335,401,29.00861940872057
100_50,347,407.6,27.385397568777417
100_50,359,415.2,25.50568564065667
100_50,371,422,24.06449667040638
100_50,383,429.8,22.599557517792245
100_50,394,436.8,21.164593074283285
100_50,406,576.6,146.25204272077704
100_50,418,586.2,143.8107784555803
100_50,430,594.8,141.5886294869754
100_50,442,603,139.2203289753332
100_50,454,611.4,137.99007210665556
100_50,466,620,135.10255363981835
100_50,477,628,133.7923764644309
100_50,489,636.8,131.78482461952893
100_50,501,644,128.9356428610801
100_50,513,651.8,126.91981720755825
100_50,525,660.4,124.50365456483594
100_50,537,668.8,123.36871564541798
100_50,549,676.8,121.3385346870482
100_50,560,685.2,118.7423260678348
100_50,572,694,115.78903229580942
100_50,584,701.8,113.56601604353303
100_50,596,710,110.26558846711877
100_50,608,825.8,132.17579203469901
100_50,620,832.4,129.0668818868729
100_50,632,841.4,127.23270019928053
100_50,643,1031.4,98.5908717884166
100_50,655,936,115.27879249888072
100_50,667,939.6,112.10334517756372
100_50,679,1034.8,90.70303192286353
100_50,691,1037,88.35440000362176
100_50,703,1042,86.57828827136744
100_50,715,1043.6,84.03308872105083
100_50,726,1044.2,81.45268565246944
100_50,738,1047.4,79.2455676993988
100_50,750,1050.6,77.14181745331128
100_50,762,1053.2,74.83274684254214
100_50,774,1055.2,72.38466688463794
100_50,786,1055.8,69.5632086666508
100_50,798,1057.6,67.42744248449587
100_50,809,1059.2,65.08947687606653
100_50,821,1063.6,63.295813447652286
100_50,833,1110.2,22.705505940189923
100_50,845,1111,22.757416373569296
100_50,857,1111.4,22.95125268912353
100_50,869,1111,22.271057451320086
100_50,881,1110,22.002272609891914
100_50,892,1110.6,21.4
100_50,904,1110.4,20.999047597450694
100_50,916,1112,21.002380817421628
100_50,928,1113.4,21.469979040511426
100_50,940,1113.4,20.71617725353787
100_50,952,1114.4,21.09170453045462
100_50,964,1115.8,20.209898564812242
100_50,975,1115,19.659603251337497
100_50,987,1117,20.16928357676593
100_50,999,1116.8,19.412367192076292
100_50,1011,1119.6,18.82179587605816
100_50,1023,1122.6,17.946030201690846
100_50,1035,1125.4,16.800595227550716
100_50,1047,1128.6,15.784802817900514
100_50,1058,1133.4,15.380507143784303
100_50,1070,1137.4,13.876599006961323
100_50,1082,1141.8,12.939860895697448
100_50,1094,1146.6,12.839781929612355
100_50,1106,1150.8,11.637869220780923
100_50,1118,1155,10.183319694480774
100_50,1130,1160.2,8.952094726934025
100_50,1141,1165.6,7.672027111526652
100_50,1153,1171,6.877499545619759
100_50,1165,1177.8,5.6780278266313555
100_50,1177,1185,4.701063709417263
100_50,1189,1191.6,4.456455991031438
100_50,1201,1198.4,4.433959855479072
100_50,1213,1204.4,4.853864439804639
100_50,1225,1210.2,4.532107677449863
200_100,101,146,14.046351839534704
200_100,149,161.8,8.822698000045111
200_100,198,205.4,5.436910887627274
200_100,247,251.6,3.4871191548325386
200_100,296,299.6,2.712931993250107
200_100,345,346.8,1.5620499351813306
200_100,394,395.6,1.5999999999999999
200_100,443,444.2,1.2
200_100,492,493.4,1.4
200_100,541,542.2,1.1999999999999997
200_100,590,591,1
200_100,639,640,1
200_100,688,688.8,0.8
200_100,737,737.8,0.8
200_100,786,786.8,0.8
200_100,835,835.8,0.8
200_100,884,884.6,0.5999999999999999
200_100,933,933.6,0.5999999999999999
200_100,982,982.4,0.4
200_100,1031,1031.4,0.4000000000000001
200_100,1080,1080.4,0.4000000000000001
200_100,1129,1129.2,0.20000000000000004
200_100,1178,1178,0
200_100,1227,1227.2,0.20000000000000004
200_100,1276,1276,0
200_100,1325,1325,0
200_100,1374,1833.8,459.8
200_100,1423,1874.2,451.2
200_100,1472,1912.2,440.2
200_100,1521,2401.4,539.4554291134717
200_100,1570,2431.2,527.7513050670741
200_100,1619,2463.8,517.6800556328203
200_100,1668,2493.6,505.9305881244975
200_100,1717,2523,493.9614357416983
200_100,1766,2552.4,481.968629684547
200_100,1815,3218,360.0243047351109
200_100,1864,3227.4,350.64007186857583
200_100,1913,3236.4,340.9406986559393
200_100,1962,3245.2,330.76901305896234
200_100,2011,3519.4,94.15179233556842
200_100,2060,3516,94.64407007309015
200_100,2109,3518.6,93.22960903060786
200_100,2158,3519,93.40396137209599
200_100,2207,3516.4,93.44174655901932
200_100,2256,3515.6,93.16952291387993
200_100,2305,3514.4,92.41569130834871
200_100,2354,3512,91.67824169343562
200_100,2403,3512.8,92.84794020332383
200_100,2452,3511.4,91.41039328216458
200_100,2501,3509.2,92.68894216679786
200_100,2549,3510.6,91.96988637592199
200_100,2598,3510.4,92.35020303172051
200_100,2647,3511.4,93.28697658301505
200_100,2696,3510.4,94.15232339140654
200_100,2745,3511.2,91.93443315754983
200_100,2794,3512.8,92.67437617810005
200_100,2843,3513.8,90.27923349253692
200_100,2892,3517.8,90.36614410275564
200_100,2941,3520,88.81610214369914
200_100,2990,3525.4,88.52943013484273
200_100,3039,3528.6,88.077579439946
200_100,3088,3539.4,86.84042837296462
200_100,3137,3544.4,85.47432362996504
200_100,3186,3556.2,81.12237669102156
200_100,3235,3568.8,78.3028735104913
200_100,3284,3586,74.1424304969833
200_100,3333,3601.6,69.36757167437821
200_100,3382,3619.2,63.92526886920383
200_100,3431,3639.6,59.66288628619973
200_100,3480,3665.2,54.71873536550346
200_100,3529,3691,52.113338023964644
200_100,3578,3714.6,47.301797006033496
200_100,3627,3747.8,43.54009646291565
200_100,3676,3783.8,39.03767411104304
200_100,3725,3815.8,36.241412775994256
200_100,3774,3852,30.789608636681304
200_100,3823,3888.2,26.627805016561158
200_100,3872,3924.2,21.324633642808493
200_100,3921,3962.8,17.43387507125137
200_100,3970,4004.6,14.235870187663272
200_100,4019,4046.2,12.293900926882403
200_100,4068,4089.2,10.50904372433572
200_100,4117,4133.6,8.669486720677297
200_100,4166,4179.2,7.742092740338364
200_100,4215,4225.8,6.6060578259654985
200_100,4264,4271.6,6.013318551349164
200_100,4313,4317.2,4.235563716909473
200_100,4362,4364.2,2.7092434368288134
200_100,4411,4411.2,1.2806248474865698
200_100,4460,4456.8,0.58309518948453
200_100,4509,4499.2,2.2671568097509267
